companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
PIMCO California Municipal Income Fund III,PZC,12/09/2022,01/03/2023,12/12/2022,0.038,0.456,12/01/2022
"Royce Global Value Trust, Inc.",RGT,12/09/2022,12/23/2022,12/12/2022,0.13,0.13,12/01/2022
"Royce Value Trust, Inc.",RVT,12/09/2022,12/23/2022,12/12/2022,0.29,1.32,12/01/2022
Saba Capital Income & Opportunities Fund,BRW,12/09/2022,12/30/2022,12/12/2022,0.087,1.052,11/30/2022
Spire Inc.,SR,12/09/2022,01/04/2023,12/12/2022,0.72,2.88,11/16/2022
Thornburg Income Builder Opportunities Trust,TBLD,12/09/2022,12/20/2022,12/12/2022,0.104,1.25,12/01/2022
Tri Continental Corporation,TY,12/09/2022,12/20/2022,12/12/2022,0.886,1.612,11/17/2022
UMB Financial Corporation,UMBF,12/09/2022,01/03/2023,12/12/2022,0.38,1.52,10/25/2022
"U.S. Global Investors, Inc.",GROW,12/09/2022,12/27/2022,12/12/2022,0.007,0.09,10/05/2022
V.F. Corporation,VFC,12/09/2022,12/20/2022,12/12/2022,0.51,2.04,10/26/2022
Virtus Artificial Intelligence & Technology Opportunities Fund,AIO,12/09/2022,01/03/2023,12/12/2022,0.15,1.8,09/08/2022
Virtus Convertible & Income Fund II,NCZ,12/09/2022,01/03/2023,12/12/2022,0.038,0.487,09/08/2022
Virtus Convertible & Income Fund,NCV,12/09/2022,01/03/2023,12/12/2022,0.043,0.552,09/08/2022
Allspring Global Dividend Opportunity Fund,EOD,12/12/2022,01/03/2023,12/13/2022,0.12,0.516,11/16/2022
"Best Buy Co., Inc.",BBY,12/12/2022,01/03/2023,12/13/2022,0.88,3.52,11/22/2022
Brookfield Reinsurance Ltd.,BNRE,12/12/2022,12/09/2022,12/02/2022,5.481,6.041,N/A
BrandywineGLOBAL - Dynamic US Large Cap Value ETF,DVAL,12/12/2022,12/20/2022,12/13/2022,1.503,1.503,12/09/2022
Cushing MLP & Infrastructure Total Return Fund,SRV,12/12/2022,12/30/2022,12/13/2022,0.45,2.97,12/01/2022
Designer Brands Inc.,DBI,12/12/2022,12/28/2022,12/13/2022,0.05,0.2,11/17/2022
"Marten Transport, Ltd.",MRTN,12/12/2022,12/27/2022,12/13/2022,0.06,0.24,11/30/2022
Martin Currie Sustainable International Equity ETF,MCSE,12/12/2022,12/20/2022,12/13/2022,0.061,0.061,12/09/2022
NXG NextGen Infrastructure Income Fund,NXG,12/12/2022,12/30/2022,12/13/2022,0.213,2.558,12/01/2022
"OFS Credit Company, Inc.",OCCI,12/12/2022,01/31/2023,12/13/2022,0.55,2.2,12/01/2022
"Pioneer Municipal High Income Opportunities Fund, Inc.",MIO,12/12/2022,12/19/2022,12/13/2022,0.058,0.72,12/01/2022
"Pioneer High Income Fund, Inc.",PHT,12/12/2022,12/19/2022,12/13/2022,0.058,0.74,12/01/2022
"Pioneer Municipal High Income Advantage Fund, Inc.",MAV,12/12/2022,12/19/2022,12/13/2022,0.044,0.5,12/01/2022
"Pioneer Municipal High Income Fund, Inc.",MHI,12/12/2022,12/19/2022,12/13/2022,0.048,0.51,12/01/2022
STMicroelectronics N.V.,STM,12/12/2022,12/20/2022,12/13/2022,0.051,0.204,03/24/2022
Virtus Stone Harbor Emerging Markets Total Income Fund,EDI,12/12/2022,12/23/2022,12/13/2022,0.07,0.84,11/17/2022
Virtus Stone Harbor Emerging Markets Income Fund,EDF,12/12/2022,12/23/2022,12/13/2022,0.06,0.72,11/17/2022
"Big Lots, Inc.",BIG,12/13/2022,12/28/2022,12/14/2022,0.3,1.2,11/29/2022
Brookfield Real Assets Income Fund Inc.,RA,12/13/2022,12/27/2022,12/14/2022,0.199,2.388,09/30/2022
"BNY Mellon Strategic Municipals, Inc.",LEO,12/13/2022,12/30/2022,12/14/2022,0.023,0.346,11/29/2022
"Cohen & Steers Closed-End Opportunity Fund, Inc.",FOF,12/13/2022,12/30/2022,12/14/2022,0.087,1.131,09/26/2022
"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",LDP,12/13/2022,12/30/2022,12/14/2022,0.135,2.163,09/26/2022
"Cohen & Steers Select Preferred and Income Fund, Inc.",PSF,12/13/2022,12/30/2022,12/14/2022,0.135,2.327,09/26/2022
Cohen & Steers Real Estate Opportunities and Income Fund,RLTY,12/13/2022,12/30/2022,12/14/2022,0.104,0.936,09/26/2022
"Camping World Holdings, Inc.",CWH,12/13/2022,12/29/2022,12/14/2022,0.625,2.5,11/21/2022
Center Coast Brookfield MLP & Energy Infrastructur,CEN,12/13/2022,12/27/2022,12/14/2022,0.225,0.9,12/02/2022
Cohen & Steers Tax-Advantaged Preferred Securities,PTA,12/13/2022,12/30/2022,12/14/2022,0.13,1.837,09/26/2022
"Cohen & Steers REIT and Preferred and Income Fund,",RNP,12/13/2022,12/30/2022,12/14/2022,0.136,1.756,09/26/2022
"Cohen & Steers Infrastructure Fund, Inc",UTF,12/13/2022,12/30/2022,12/14/2022,0.155,2.015,09/26/2022
Extra Space Storage Inc,EXR,12/13/2022,12/30/2022,12/14/2022,1.5,6.0,11/21/2022
FS KKR Capital Corp.,FSK,12/13/2022,01/03/2023,12/14/2022,0.68,2.44,11/07/2022
First Trust Income Opportunities ETF,FCEF,12/13/2022,12/30/2022,12/14/2022,0.117,1.402,12/12/2022
"HCA Healthcare, Inc.",HCA,12/13/2022,12/28/2022,12/14/2022,0.56,2.24,10/21/2022
Hewlett Packard Enterprise Company,HPE,12/13/2022,01/13/2023,12/14/2022,0.12,0.48,11/29/2022
HP Inc.,HPQ,12/13/2022,01/04/2023,12/14/2022,0.262,1.05,11/22/2022
iShares Biotechnology ETF,IBB,12/13/2022,12/19/2022,12/14/2022,0.101,0.408,12/12/2022
iShares Asia 50 ETF,AIA,12/13/2022,12/19/2022,12/14/2022,0.95,1.191,12/12/2022
iShares GSCI Commodity Dynamic Roll Strategy ETF,COMT,12/13/2022,12/19/2022,12/14/2022,8.398,8.398,12/12/2022
iShares Core MSCI Total International Stock ETF,IXUS,12/13/2022,12/19/2022,12/14/2022,0.49,1.438,12/12/2022
iShares Core S&P U.S. Growth ETF,IUSG,12/13/2022,12/19/2022,12/14/2022,0.219,0.839,12/12/2022
iShares Core S&P U.S. Value ETF,IUSV,12/13/2022,12/19/2022,12/14/2022,0.432,1.569,12/12/2022
iShares S&P Emerging Markets Infrastructure Index Fund,EMIF,12/13/2022,12/19/2022,12/14/2022,0.335,0.64,12/12/2022
iShares Exponential Technologies ETF,XT,12/13/2022,12/19/2022,12/14/2022,0.151,0.371,12/12/2022
iShares S&P Global Clean Energy Index Fund,ICLN,12/13/2022,12/19/2022,12/14/2022,0.036,0.177,12/12/2022
iShares Global Infrastructure ETF,IGF,12/13/2022,12/19/2022,12/14/2022,0.518,1.223,12/12/2022
iShares Global Timber & Forestry ETF,WOOD,12/13/2022,12/19/2022,12/14/2022,0.101,1.643,12/12/2022
iShares MSCI Emerging Markets Asia ETF,EEMA,12/13/2022,12/19/2022,12/14/2022,0.785,0.986,12/12/2022
iShares MSCI Global Gold Miners ETF,RING,12/13/2022,12/19/2022,12/14/2022,0.282,0.511,12/12/2022
iShares Morningstar Mid-Cap Value ETF,IMCV,12/13/2022,12/19/2022,12/14/2022,0.444,1.464,12/12/2022
iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,12/13/2022,12/19/2022,12/14/2022,0.787,0.994,12/12/2022
iShares MSCI Brazil Small-Cap ETF,EWZS,12/13/2022,12/19/2022,12/14/2022,0.321,0.539,12/14/2021
iShares MSCI China ETF,MCHI,12/13/2022,12/19/2022,12/14/2022,0.712,0.846,12/12/2022
iShares MSCI Emerging Markets ex China ETF,EMXC,12/13/2022,12/19/2022,12/14/2022,0.846,1.353,12/12/2022
iShares MSCI Europe Financials Sector Index Fund,EUFN,12/13/2022,12/19/2022,12/14/2022,0.072,0.743,12/12/2022
iShares MSCI Europe Small-Cap ETF,IEUS,12/13/2022,12/19/2022,12/14/2022,0.313,1.482,12/12/2022
iShares MSCI Qatar ETF,QAT,12/13/2022,12/19/2022,12/14/2022,0.122,0.877,12/12/2022
iShares MSCI UAE ETF,UAE,12/13/2022,12/19/2022,12/14/2022,0.032,0.399,12/12/2022
iShares MSCI New Zealand ETF,ENZL,12/13/2022,12/19/2022,12/14/2022,0.242,0.789,12/12/2022
iShares Semiconductor ETF,SOXX,12/13/2022,12/19/2022,12/14/2022,1.062,4.367,12/12/2022
iShares Select Dividend ETF,DVY,12/13/2022,12/19/2022,12/14/2022,1.04,4.141,12/13/2021
iShares India 50 ETF,INDY,12/13/2022,12/19/2022,12/14/2022,1.585,1.585,12/12/2022
iShares S&P Small-Cap 600 Growth ETF,IJT,12/13/2022,12/19/2022,12/14/2022,0.371,1.17,12/12/2022
iShares MSCI Global Sustainable Development Goals ETF,SDG,12/13/2022,12/19/2022,12/14/2022,0.695,1.436,12/12/2022
iShares MSCI China Multisector Tech ETF,TCHI,12/13/2022,12/19/2022,12/14/2022,0.145,0.2,12/12/2022
iShares Environmental Infrastructure and Industrials ETF,EFRA,12/13/2022,12/19/2022,12/14/2022,0.036,0.036,12/12/2022
iShares Environmentally Aware Real Estate ETF,ERET,12/13/2022,12/19/2022,12/14/2022,0.158,0.158,12/12/2022
iShares ESG Advanced MSCI EM ETF,EMXF,12/13/2022,12/19/2022,12/14/2022,0.613,0.825,12/12/2022
iShares ESG Advanced MSCI EAFE ETF,DMXF,12/13/2022,12/19/2022,12/14/2022,0.313,1.305,12/12/2022
iShares ESG Advanced MSCI USA ETF,USXF,12/13/2022,12/19/2022,12/14/2022,0.125,0.425,12/12/2022
iShares ESG MSCI USA Min Vol Factor ETF,ESMV,12/13/2022,12/19/2022,12/14/2022,0.101,0.378,12/12/2022
iShares ESG MSCI USA Leaders ETF,SUSL,12/13/2022,12/19/2022,12/14/2022,0.269,1.039,12/12/2022
iShares ESG MSCI EM Leaders ETF,LDEM,12/13/2022,12/19/2022,12/14/2022,1.694,2.101,12/12/2022
iShares ESG Aware MSCI USA ETF,ESGU,12/13/2022,12/19/2022,12/14/2022,0.35,1.343,12/12/2022
iShares MSCI Water Management Multisector ETF,IWTR,12/13/2022,12/19/2022,12/14/2022,0.086,0.086,12/12/2022
iShares Paris-Aligned Climate MSCI USA ETF,PABU,12/13/2022,12/19/2022,12/14/2022,0.155,0.413,12/12/2022
iShares Emergent Food and AgTech Multisector ETF,IVEG,12/13/2022,12/19/2022,12/14/2022,0.146,0.295,12/12/2022
iShares ESG Aware MSCI EAFE ETF,ESGD,12/13/2022,12/19/2022,12/14/2022,0.308,1.704,12/12/2022
iShares ESG Aware MSCI EM ETF,ESGE,12/13/2022,12/19/2022,12/14/2022,0.531,0.807,12/12/2022
iShares MSCI ACWI ETF,ACWI,12/13/2022,12/19/2022,12/14/2022,0.676,1.523,12/12/2022
iShares MSCI ACWI ex US Index Fund,ACWX,12/13/2022,12/19/2022,12/14/2022,0.382,1.22,12/12/2022
iShares MSCI Turkey ETF,TUR,12/13/2022,12/19/2022,12/14/2022,0.176,0.729,12/12/2022
iShares MSCI Japan Value ETF,EWJV,12/13/2022,12/19/2022,12/14/2022,0.263,0.663,12/12/2022
Lam Research Corporation,LRCX,12/13/2022,01/04/2023,12/14/2022,1.725,6.9,11/10/2022
"Mannatech, Incorporated",MTEX,12/13/2022,12/28/2022,12/14/2022,0.2,0.8,11/11/2022
MFS Charter Income Trust,MCR,12/13/2022,12/30/2022,12/14/2022,0.045,0.588,12/01/2022
Colonial High Income Municipal Trust,CXE,12/13/2022,12/30/2022,12/14/2022,0.015,0.199,12/01/2022
MFS Intermediate Income Trust,MIN,12/13/2022,12/30/2022,12/14/2022,0.021,0.277,12/01/2022
Colonial Investment Grade Municipal Trust,CXH,12/13/2022,12/30/2022,12/14/2022,0.025,0.338,12/01/2022
MFS Multimarket Income Trust,MMT,12/13/2022,12/30/2022,12/14/2022,0.032,0.423,12/01/2022
NewJersey Resources Corporation,NJR,12/13/2022,01/03/2023,12/14/2022,0.39,1.56,11/10/2022
Public Storage,PSA,12/13/2022,12/29/2022,12/14/2022,2.0,8.0,10/26/2022
"PulteGroup, Inc.",PHM,12/13/2022,01/03/2023,12/14/2022,0.16,0.64,12/01/2022
SFL Corporation Ltd,SFL,12/13/2022,12/30/2022,12/14/2022,0.23,0.92,11/11/2022
Strategy Shares Nasdaq 5HANDL Index ETF,FIVR,12/13/2022,12/15/2022,12/14/2022,0.087,1.107,12/12/2022
Strategy Shares Nasdaq 7HANDL Index ETF,HNDL,12/13/2022,12/15/2022,12/14/2022,0.118,1.541,12/12/2022
Telefonica SA,TEF,12/13/2022,01/03/2023,12/14/2022,0.111,0.222,11/14/2022
Tsakos Energy Navigation Ltd,TNP,12/13/2022,12/20/2022,12/14/2022,0.15,0.3,11/22/2022
VALE S.A.,VALE,12/13/2022,N/A,12/14/2022,0.048,0.095,12/02/2022
"Wyndham Hotels & Resorts, Inc.",WH,12/13/2022,12/28/2022,12/14/2022,0.32,1.28,10/31/2022
"Aarons Holdings Company, Inc. (The)",AAN,12/14/2022,01/05/2023,12/15/2022,0.112,0.45,11/09/2022
ADT Inc.,ADT,12/14/2022,01/04/2023,12/15/2022,0.035,0.14,11/03/2022
Advent Convertible and Income Fund,AVK,12/14/2022,12/30/2022,12/15/2022,0.117,1.406,12/01/2022
"Alpha Metallurgical Resources, Inc.",AMR,12/14/2022,01/03/2023,12/15/2022,5.418,1.672,11/04/2022
"American International Group, Inc.",AIG,12/14/2022,12/29/2022,12/15/2022,0.32,1.28,11/01/2022
American Homes 4 Rent,AMH,12/14/2022,12/30/2022,12/15/2022,0.18,0.72,11/10/2022
Ares Capital Corporation,ARCC,12/14/2022,12/29/2022,12/15/2022,0.51,1.92,02/09/2022
"ARMOUR Residential REIT, Inc.",ARR,12/14/2022,12/28/2022,12/15/2022,0.1,1.2,11/21/2022
"Banc of California, Inc.",BANC,12/14/2022,01/03/2023,12/15/2022,0.06,0.24,11/03/2022
"BCE, Inc.",BCE,12/14/2022,01/16/2023,12/15/2022,0.67,2.679,11/03/2022
Belden Inc,BDC,12/14/2022,01/05/2023,12/15/2022,0.05,0.2,11/30/2022
BlackRock Credit Allocation Income Trust,BTZ,12/14/2022,12/22/2022,12/15/2022,0.084,1.007,12/05/2022
Citigroup Inc.,BLW,12/14/2022,12/22/2022,12/15/2022,0.098,1.177,12/05/2022
Blackrock Core Bond Trust,BHK,12/14/2022,12/22/2022,12/15/2022,0.075,1.05,12/05/2022
"Blackrock Corporate High Yield Fund, Inc.",HYT,12/14/2022,12/22/2022,12/15/2022,0.078,0.935,12/05/2022
"Blackrock Enhanced Government Fund, Inc",EGF,12/14/2022,12/22/2022,12/15/2022,0.041,0.492,12/05/2022
Blackrock Floating Rate Income Strategies Fund Inc,FRA,12/14/2022,12/22/2022,12/15/2022,0.08,0.841,12/05/2022
Blackrock Global,BGT,12/14/2022,12/22/2022,12/15/2022,0.078,0.817,12/05/2022
BlackRock Multi-Sector Income Trust,BIT,12/14/2022,12/22/2022,12/15/2022,0.124,1.484,12/05/2022
BalckRock Taxable Municipal Bond Trust,BBN,12/14/2022,12/22/2022,12/15/2022,0.103,1.455,12/05/2022
"Broadridge Financial Solutions, Inc.",BR,12/14/2022,01/05/2023,12/15/2022,0.725,2.9,11/10/2022
C&F Financial Corporation,CFFI,12/14/2022,01/01/2023,12/15/2022,0.42,1.68,11/16/2022
Cadence Bank,CADE,12/14/2022,01/03/2023,12/15/2022,0.22,0.88,10/26/2022
Capital Southwest Corporation,CSWC,12/14/2022,12/30/2022,12/15/2022,0.57,2.08,N/A
Cenovus Energy Inc,CVE,12/14/2022,12/30/2022,12/15/2022,0.078,0.313,11/01/2022
Chesapeake Utilities Corporation,CPK,12/14/2022,01/05/2023,12/15/2022,0.535,2.14,11/03/2022
"ChoiceOne Financial Services, Inc.",COFS,12/14/2022,12/30/2022,12/15/2022,0.26,1.04,11/30/2022
"Civitas Resources, Inc.",CIVI,12/14/2022,12/30/2022,12/15/2022,1.95,2.0,10/31/2022
Comerica Incorporated,CMA,12/14/2022,01/01/2023,12/15/2022,0.68,2.72,11/08/2022
"Community Bank System, Inc.",CBU,12/14/2022,01/10/2023,12/15/2022,0.44,1.76,11/16/2022
"Community Trust Bancorp, Inc.",CTBI,12/14/2022,01/01/2023,12/15/2022,0.44,1.76,10/25/2022
Crescent Point Energy Corporation,CPG,12/14/2022,01/03/2023,12/15/2022,0.06,0.239,10/26/2022
Crown Castle Inc.,CCI,12/14/2022,12/30/2022,12/15/2022,1.565,6.26,10/19/2022
Duff & Phelps Utility and Infrastructure Fund Inc.,DPG,12/14/2022,12/30/2022,12/15/2022,0.35,1.4,09/22/2022
DoubleLine Income Solutions Fund,DSL,12/14/2022,12/30/2022,12/15/2022,0.306,1.32,12/01/2022
DoubleLine Yield Opportunities Fund,DLY,12/14/2022,12/30/2022,12/15/2022,0.117,1.4,12/01/2022
"Digital Realty Trust, Inc.",DLR,12/14/2022,01/13/2023,12/15/2022,1.22,4.88,11/29/2022
Domino's Pizza Inc,DPZ,12/14/2022,12/30/2022,12/15/2022,1.1,4.4,10/11/2022
DoubleLine Opportunistic Credit Fund,DBL,12/14/2022,12/30/2022,12/15/2022,0.11,1.32,12/01/2022
Eastman Chemical Company,EMN,12/14/2022,01/06/2023,12/15/2022,0.79,3.16,12/01/2022
Enterprise Financial Services Corporation,EFSC,12/14/2022,12/30/2022,12/15/2022,0.24,0.96,10/24/2022
Entravision Communications Corporation,EVC,12/14/2022,12/30/2022,12/15/2022,0.025,0.1,11/03/2022
"EOG Resources, Inc.",EOG,12/14/2022,12/30/2022,12/15/2022,1.5,3.0,11/03/2022
Epsilon Energy Ltd.,EPSN,12/14/2022,12/30/2022,12/15/2022,0.063,0.25,12/05/2022
Federal Agricultural Mortgage Corporation,AGM,12/14/2022,12/30/2022,12/15/2022,0.95,3.8,11/09/2022
"First Eagle Alternative Capital BDC, Inc.",FCRD,12/14/2022,12/31/2022,12/15/2022,0.11,0.44,11/08/2022
"First Financial Bankshares, Inc.",FFIN,12/14/2022,01/03/2023,12/15/2022,0.17,0.68,10/25/2022
GATX Corporation,GATX,12/14/2022,12/31/2022,12/15/2022,0.52,2.08,10/28/2022
Generation Income Properties Inc.,GIPR,12/14/2022,12/30/2022,12/15/2022,0.039,0.468,10/04/2022
General Electric Company,GE,12/14/2022,01/25/2023,12/15/2022,0.08,0.32,11/30/2022
"Gilead Sciences, Inc.",GILD,12/14/2022,12/29/2022,12/15/2022,0.73,2.92,10/27/2022
"Global Self Storage, Inc.",SELF,12/14/2022,12/29/2022,12/15/2022,0.072,0.29,12/01/2022
"Global Water Resources, Inc.",GWRS,12/14/2022,12/29/2022,12/15/2022,0.025,0.298,11/30/2022
"Granite Ridge Resources, Inc.",GRNT,12/14/2022,12/15/2022,12/15/2022,0.08,0.32,11/14/2022
Graphic Packaging Holding Company,GPK,12/14/2022,01/05/2023,12/15/2022,0.1,0.4,09/22/2022
"Gray Television, Inc.",GTN,12/14/2022,12/30/2022,12/15/2022,0.08,0.32,11/04/2022
"Gray Television, Inc.",GTN.A,12/14/2022,12/30/2022,12/15/2022,0.08,0.32,11/04/2022
Great Elm Capital Corp.,GECC,12/14/2022,12/30/2022,12/15/2022,0.45,1.8,11/03/2022
Guggenheim Active Allocation Fund,GUG,12/14/2022,12/30/2022,12/15/2022,0.119,1.306,12/01/2022
Guggenheim Strategic Opportunities Fund,GOF,12/14/2022,12/30/2022,12/15/2022,0.182,2.185,12/01/2022
Guggenheim Taxable Municipal Managed Duration Trst,GBAB,12/14/2022,12/30/2022,12/15/2022,0.126,1.509,12/01/2022
Hamilton Lane Incorporated,HLNE,12/14/2022,01/06/2023,12/15/2022,0.4,1.6,11/01/2022
"The Hanover Insurance Group, Inc.",THG,12/14/2022,12/30/2022,12/15/2022,0.81,3.24,12/05/2022
"Hawthorn Bancshares, Inc.",HWBK,12/14/2022,01/01/2023,12/15/2022,0.17,0.68,10/26/2022
Highway Holdings Limited,HIHO,12/14/2022,01/05/2023,12/15/2022,0.05,0.2,11/15/2022
Horace Mann Educators Corporation,HMN,12/14/2022,12/30/2022,12/15/2022,0.32,1.28,12/02/2022
Huntsman Corporation,HUN,12/14/2022,12/30/2022,12/15/2022,0.213,0.85,11/08/2022
"Installed Building Products, Inc.",IBP,12/14/2022,12/31/2022,12/15/2022,0.315,1.26,11/03/2022
"Inter Parfums, Inc.",IPAR,12/14/2022,12/30/2022,12/15/2022,0.5,2.0,11/09/2022
Intercontinental Exchange Inc.,ICE,12/14/2022,12/30/2022,12/15/2022,0.38,1.52,11/03/2022
Invesco Bond Fund,VBF,12/14/2022,12/30/2022,12/15/2022,0.103,0.722,12/01/2022
Invesco High Income 2024 Target Term Fund,IHTA,12/14/2022,12/30/2022,12/15/2022,0.033,0.442,12/01/2022
Iron Mountain Incorporated,IRM,12/14/2022,01/05/2023,12/15/2022,0.618,2.474,11/03/2022
Invesco High Income 2023 Target Term Fund,IHIT,12/14/2022,12/30/2022,12/15/2022,0.035,0.474,12/01/2022
"KBR, Inc.",KBR,12/14/2022,01/13/2023,12/15/2022,0.12,0.48,10/18/2022
"Leggett & Platt, Incorporated",LEG,12/14/2022,01/13/2023,12/15/2022,0.44,1.76,11/18/2022
"Leidos Holdings, Inc.",LDOS,12/14/2022,12/30/2022,12/15/2022,0.36,1.44,10/28/2022
Macy's Inc,M,12/14/2022,01/03/2023,12/15/2022,0.157,0.63,10/28/2022
Maxar Technologies Inc.,MAXR,12/14/2022,12/30/2022,12/15/2022,0.01,0.04,10/26/2022
Merchants Bancorp,MBIN,12/14/2022,01/03/2023,12/15/2022,0.07,0.28,11/16/2022
"Merck & Company, Inc.",MRK,12/14/2022,01/09/2023,12/15/2022,0.73,2.92,11/29/2022
Mercury General Corporation,MCY,12/14/2022,12/29/2022,12/15/2022,0.317,1.27,11/01/2022
MainStay MacKay DefinedTerm Municipal Opportunitie,MMD,12/14/2022,12/30/2022,12/15/2022,0.085,1.02,10/03/2022
Monroe Capital Corporation,MRCC,12/14/2022,12/30/2022,12/15/2022,0.25,1.0,12/05/2022
"Motorola Solutions, Inc.",MSI,12/14/2022,01/13/2023,12/15/2022,0.88,3.52,11/17/2022
National Storage Affiliates Trust,NSA,12/14/2022,12/30/2022,12/15/2022,0.55,2.2,11/09/2022
NewMarket Corporation,NEU,12/14/2022,01/03/2023,12/15/2022,2.1,8.4,10/27/2022
"NexPoint Real Estate Finance, Inc.",NREF,12/14/2022,12/30/2022,12/15/2022,0.5,2.0,10/25/2022
"NexPoint Residential Trust, Inc.",NXRT,12/14/2022,12/30/2022,12/15/2022,0.42,1.68,10/25/2022
Northrim BanCorp Inc,NRIM,12/14/2022,12/23/2022,12/15/2022,0.5,2.0,12/02/2022
NorthWestern Corporation,NWE,12/14/2022,12/30/2022,12/15/2022,0.63,2.52,10/25/2022
Nuveen Core Equity Alpha Fund,JCE,12/14/2022,12/30/2022,12/15/2022,0.395,2.331,12/01/2022
Nuveen AMT-Free Municipal Credit Income Fund,NVG,12/14/2022,12/30/2022,12/15/2022,0.054,0.75,12/01/2022
Nuveen Quality Municipal Income Fund,NAD,12/14/2022,12/30/2022,12/15/2022,0.047,0.659,12/01/2022
Nuveen Municipal High Income Opportunity Fund,NMZ,12/14/2022,12/30/2022,12/15/2022,0.054,0.728,12/01/2022
Nuveen Credit Strategies Income Fund,JQC,12/14/2022,12/30/2022,12/15/2022,0.047,0.494,12/01/2022
Nuveen AMT-Free Municipal Value Fund,NUV,12/14/2022,12/30/2022,12/15/2022,0.028,0.336,12/01/2022
Nuveen Preferred & Income Securities Fund,JPS,12/14/2022,12/30/2022,12/15/2022,0.043,0.555,12/01/2022
Nuveen Real Estate Fund,JRS,12/14/2022,12/30/2022,12/15/2022,0.209,0.836,12/01/2022
Nuveen Corporate Income 2023 Target Term Fund,JHAA,12/14/2022,12/30/2022,12/15/2022,0.025,0.333,12/01/2022
Nuveen Core Plus Impact Fund,NPCT,12/14/2022,12/30/2022,12/15/2022,0.103,1.236,12/01/2022
Nuveen Dynamic Municipal Opportunities Fund,NDMO,12/14/2022,12/30/2022,12/15/2022,0.076,0.918,12/01/2022
Nuveen Municipal Credit Opportunities Fund,NMCO,12/14/2022,12/30/2022,12/15/2022,0.058,0.731,12/01/2022
Nuveen NASDAQ 100 Dynamic Overwrite Fund,QQQX,12/14/2022,12/30/2022,12/15/2022,0.493,1.974,12/01/2022
Nuveen S&P 500 Buy-Write Income Fund,BXMX,12/14/2022,12/30/2022,12/15/2022,0.236,0.946,12/01/2022
Nuveen Variable Rate Preferred & Income Fund,NPFD,12/14/2022,12/30/2022,12/15/2022,0.119,1.463,12/01/2022
Nuveen AMT-Free Municipal Value Fund,NUW,12/14/2022,12/30/2022,12/15/2022,0.039,0.468,12/01/2022
Nuveen AMT-Free Quality Municipal Income Fund,NEA,12/14/2022,12/30/2022,12/15/2022,0.045,0.624,12/01/2022
Nuveen California AMT-Free Quality Municipal Income Fund,NKX,12/14/2022,12/30/2022,12/15/2022,0.047,0.636,12/01/2022
Nuveen California Quality Municipal Income Fund,NAC,12/14/2022,12/30/2022,12/15/2022,0.045,0.606,12/01/2022
Nuveen Dow 30SM Dynamic Overwrite Fund,DIAX,12/14/2022,12/30/2022,12/15/2022,0.287,1.147,12/01/2022
Nuveen Floating Rate Income Opportuntiy Fund,JRO,12/14/2022,12/30/2022,12/15/2022,0.074,0.755,12/01/2022
Nuveen Floating Rate Income Fund,JFR,12/14/2022,12/30/2022,12/15/2022,0.075,0.761,12/01/2022
Nuveen Georgia Quality Municipal Income Fund ,NKG,12/14/2022,12/30/2022,12/15/2022,0.033,0.477,12/01/2022
Nuveen Global High Income Fund,JGH,12/14/2022,12/30/2022,12/15/2022,0.113,1.356,12/01/2022
Nuveen Intermediate Duration Municipal Term Fund,NID,12/14/2022,12/30/2022,12/15/2022,0.043,0.548,12/01/2022
Nuveenn Intermediate Duration Quality Municipal Term Fund,NIQ,12/14/2022,12/30/2022,12/15/2022,0.03,0.425,12/01/2022
Nuveen Multi-Asset Income Fund,NMAI,12/14/2022,12/30/2022,12/15/2022,0.35,2.235,12/01/2022
Nuveen Minnesota Quality Municipal Income Fund,NMS,12/14/2022,12/30/2022,12/15/2022,0.043,0.59,12/01/2022
Nuveen Mortgage and Income Fund,JLS,12/14/2022,12/30/2022,12/15/2022,0.116,1.062,12/01/2022
Nuveen Municipal Credit Income Fund,NZF,12/14/2022,12/30/2022,12/15/2022,0.051,0.7,12/01/2022
Nuveen New Jersey Quality Municipal Income Fund,NXJ,12/14/2022,12/30/2022,12/15/2022,0.041,0.609,12/01/2022
Nuveen New York AMT-Free Quality Municipal,NRK,12/14/2022,12/30/2022,12/15/2022,0.041,0.555,12/01/2022
Nuveen New York Quality Municipal Income Fund,NAN,12/14/2022,12/30/2022,12/15/2022,0.043,0.51,12/01/2022
Nuveen Preferred and Income Fund,JPT,12/14/2022,12/30/2022,12/15/2022,0.12,1.633,12/01/2022
Nuveen Preferred & Income Opportunities Fund,JPC,12/14/2022,12/30/2022,12/15/2022,0.053,0.636,12/01/2022
Nuveen Preferred and Income Term Fund,JPI,12/14/2022,12/30/2022,12/15/2022,0.124,1.546,12/01/2022
Nuveen Real Asset Income and Growth Fund,JRI,12/14/2022,12/30/2022,12/15/2022,0.097,1.158,12/01/2022
Nuveen Short Duration Credit Opportunities Fund,JSD,12/14/2022,12/30/2022,12/15/2022,0.111,1.135,12/01/2022
Nuveen Senior Income Fund,NSL,12/14/2022,12/30/2022,12/15/2022,0.043,0.445,12/01/2022
